rp50_wl,rp50_hs
2.211,5.09514920812
2.26772166661,5.14373468252
2.311,5.18019040736
2.38498004669,5.24373468252
2.411,5.265719635
2.50158465733,5.34373468252
2.511,5.3517133916
2.611,5.40888811049
2.711,5.41794515894
2.811,5.43201183841
2.83712568876,5.44373468252
2.911,5.47056087414
3.011,5.4692690872
3.111,5.46297393609
3.211,5.46235037701
3.2837315878,5.44373468252
3.311,5.43550432998
3.411,5.40129237473
3.511,5.37249723847
3.611,5.35458751483
3.6977125632,5.34373468252
3.711,5.34140052978
3.811,5.32383391573
3.911,5.26499568873
3.96507662149,5.24373468252
4.011,5.22098971374
4.111,5.14759677878
4.11904079602,5.14373468252
4.211,5.10329712586
4.3035337175,5.04373468252
4.311,5.0387567571
4.411,4.97427410968
4.45795158918,4.94373468252
4.511,4.91629087499
4.611,4.86571425616
4.67810947499,4.84373468252
4.711,4.80841411452
4.72416523125,4.74373468252
4.77671741898,4.64373468252
4.811,4.57674135464
4.85554748348,4.54373468252
4.911,4.50598490553
5.011,4.45556272257
5.01724593345,4.44373468252
5.05149153143,4.34373468252
5.111,4.26915552261
5.14695039384,4.24373468252
5.211,4.18370437038
5.23075483141,4.14373468252
5.30330521151,4.04373468252
5.30991449836,3.94373468252
5.311,3.94099756591
5.33668121052,3.84373468252
5.35514261862,3.74373468252
5.39516230561,3.64373468252
5.411,3.62005615905
5.48206898377,3.54373468252
5.511,3.51075254144
5.55997410786,3.44373468252
5.59872988043,3.34373468252
5.611,3.28151149871
5.61571680086,3.24373468252
5.63526684207,3.14373468252
5.65124930661,3.04373468252
5.711,2.95641999529
5.72327262882,2.94373468252
5.79609427927,2.84373468252
5.811,2.81718444447
5.83538094534,2.74373468252
5.85310451956,2.64373468252
5.90613848907,2.54373468252
5.911,2.53213197269
5.95161477431,2.44373468252
6.00556784949,2.34373468252
6.011,2.3290141208
6.03798021233,2.24373468252
6.111,2.15143747169
6.11513115204,2.14373468252
6.12893779439,2.04373468252
6.16183022295,1.94373468252
6.20153063762,1.84373468252
6.211,1.81908634324
6.22932364007,1.74373468252
6.25563460295,1.64373468252
6.28954731976,1.54373468252
6.29249117948,1.44373468252
6.311,1.40705920948
6.37122942822,1.34373468252
6.411,1.29216796857
6.4269846175,1.24373468252
6.45625278604,1.14373468252
6.45940804925,1.04373468252
6.46536008652,0.943734682518
6.48321613315,0.843734682518
6.50341415024,0.743734682518
6.511,0.691314330162
6.5136287992,0.646363481723
